playerAggression,distance,nemInput,curReward
1,214369.0,Idle,0
-1,214369.0,Idle,0
-1,214369.0,Run,0
-1,214369.0,Run,0
-1,214369.0,Run,0
-1,213751.5,Run,0
-1,213134.0,Run,0
-1,212516.484375,Blast,0
-1,211898.984375,Run,0
-1,211898.984375,Run,0
-1,211898.984375,Run,0
-1,211898.984375,Run,0
-1,211898.984375,Run,0
-1,211898.984375,Run,0
-1,211898.984375,Run,0
-1,211898.984375,Run,0
-1,211898.984375,Run,0
-1,211898.984375,Run,0
-2,211898.984375,Run,0
-2,211898.984375,Run,0
-2,211898.984375,Run,0
-2,211898.984375,Run,0
-2,211898.984375,Run,0
-2,211898.984375,Run,0
-2,211898.984375,Run,0
-2,211898.984375,Run,0
-2,211898.984375,Run,0
-2,211898.984375,Run,0
-2,211898.984375,Dash,0
-2,209976.03125,Run,0
-2,208351.03125,Run,0
-2,206726.03125,Blast,0
-2,205101.03125,Run,0
-2,203476.03125,Run,0
-2,201851.046875,Dash,0
-2,200226.046875,Run,0
-2,198601.0625,Run,0
-1,196976.046875,Run,0
-1,195351.046875,Run,0
-1,193726.046875,Run,0
-1,192101.046875,Run,0
-1,190476.03125,Run,0
-1,188851.03125,Run,-1
-1,187842.28125,Run,-1
-1,186833.53125,Run,-1
-2,185824.78125,Dash,-1
-2,184816.015625,Run,-1
-2,183807.25,Run,-1
-2,182798.5,Run,-1
-2,181789.75,Run,-1
-2,180781.0,Run,-1
-2,179886.21875,Run,-1
-2,178487.75,Run,-1
-2,177169.71875,Run,-1
-2,175932.1875,Run,-1
-2,174775.125,Run,-1
-2,173698.515625,Run,-1
-2,172702.328125,Run,-1
-2,171786.5,Run,-1
-2,170950.9375,Run,-1
-2,170195.578125,Run,-1
-2,169520.25,Run,-1
-2,168924.859375,Run,-1
-2,168409.234375,Run,-1
-2,167973.21875,Run,-1
-2,167616.625,Run,-1
-2,167339.28125,Run,-1
-2,167140.953125,Run,-1
-2,167021.46875,Run,-1
-2,166980.625,Run,-1
-2,167018.15625,Run,-1
-2,167133.875,Run,-1
-2,167327.625,Run,-1
-2,167599.15625,Run,-1
-2,167948.34375,Run,-1
-2,168375.03125,Run,-1
-2,168879.21875,Run,-1
-2,169460.84375,Run,-1
-2,170120.0,Run,-2
-2,170856.921875,Run,-2
-2,171671.96875,Run,-2
-2,171401.46875,Run,-2
-2,170783.96875,Run,-2
-2,170166.46875,Run,-2
-2,169548.96875,Run,-2
-2,168931.46875,Run,-2
-2,168313.96875,Run,-2
-2,167696.46875,Run,-2
-2,167078.96875,Run,-2
-2,166461.46875,Run,-2
-2,165843.984375,Run,-2
-2,165226.484375,Run,-2
-2,164608.984375,Run,-3
-2,164797.0,Run,-3
-2,164984.8125,Run,-3
-2,165172.625,Run,-3
-2,165360.421875,Run,-3
-2,165548.21875,Run,-3
-2,165736.03125,Run,-3
-2,165923.84375,Run,-3
-2,166111.65625,Run,-3
-2,166299.46875,Run,-3
-2,166487.265625,Run,-3
-1,166675.078125,Run,-3
-1,166498.890625,Run,-3
-1,165695.84375,Run,-3
-1,164972.5,Run,-3
-1,164328.765625,Run,-3
-1,163764.515625,Run,-3
-1,163279.625,Run,-3
-1,162873.953125,Run,-3
-2,162547.3125,Run,-3
-2,162299.546875,Run,-3
-2,162130.484375,Run,-3
-2,162040.03125,Run,-3
-2,162028.140625,Dash,-3
-2,162094.875,Blast,-3
-2,160469.875,Dash,-3
-2,158844.875,Run,-4
-2,157219.859375,Run,-4
-2,155594.859375,Run,-4
-2,153969.859375,Run,-4
-2,152344.859375,Run,-4
-2,150719.859375,Run,-4
-2,149094.859375,Run,-4
-2,147469.859375,Run,-4
-2,145844.859375,Run,-4
-2,144219.859375,Burst,-4
-2,142594.859375,Melee,-4
-2,140969.859375,Melee,-4
-1,141049.109375,Melee,-4
-2,141207.609375,Melee,-4
-2,141207.609375,Melee,-4
-2,141207.609375,Melee,-4
-2,141207.609375,Melee,-4
-2,141207.609375,Melee,-4
-2,141207.609375,Melee,-4
-2,141207.609375,Melee,-4
-2,141207.609375,Melee,-4
-2,140525.140625,Melee,-4
-2,139863.6875,Melee,-4
-2,139202.171875,Burst,-4
-2,138540.6875,Melee,-4
-2,137879.21875,Melee,-4
-2,137217.734375,Melee,-4
-2,136556.203125,Melee,-4
-2,135894.703125,Melee,-4
-2,135233.21875,Burst,-4
-2,134571.734375,Burst,-4
-2,133910.25,Run,-4
1,133910.25,Run,-4
-2,133910.25,Run,-4
-3,133246.078125,Run,-4
-3,131505.34375,Run,-4
-3,129764.609375,Run,-4
-3,128023.875,Run,-4
-3,126283.140625,Run,-4
-3,124542.3984375,Run,-4
-3,122801.6640625,Run,-4
-3,121060.921875,Run,-4
3,119482.75,Run,-4
3,119478.0625,Run,-4
3,117568.2265625,Run,-4
3,117098.578125,Run,-4
3,116708.4375,Run,-4
1,116397.796875,Run,-4
-1,116166.578125,Run,-4
-1,114151.375,Run,-4
-1,112285.0546875,Run,-4
-1,110563.703125,Jump,-4
-1,108982.53125,Jump,-4
-1,105394.9921875,Jump,-4
-1,102013.921875,Run,-4
-1,98831.5234375,Run,-4
-1,98274.578125,Run,-4
-1,97870.1875,Run,-4
-1,97994.7578125,Run,-4
2,98195.5234375,Run,-4
2,96623.953125,Run,-4
2,95181.015625,Run,-4
2,93865.2890625,Run,-4
2,92724.765625,Jump,-4
2,91751.15625,Jump,-4
1,90927.546875,Run,-4
1,91472.1328125,Blast,-4
1,92163.2578125,Run,-4
1,92597.0078125,Run,-4
-1,93170.046875,Run,-4
-1,91100.3671875,Run,-4
-1,89155.609375,Run,-4
-1,87332.40625,Run,-4
-1,85627.734375,Run,-4
-1,84038.9765625,Run,-4
-1,82510.4921875,Run,-4
-1,80936.453125,Run,-4
-1,80801.734375,Run,-4
-1,80746.265625,Run,-4
-1,81168.921875,Dash,-4
-1,81591.578125,Run,-4
-1,82014.234375,Run,-4
-1,80407.2578125,Run,-4
-1,78879.5390625,Run,-4
-1,77431.0625,Run,-4
-1,76061.8359375,Jump,-4
1,74771.859375,Run,-4
