playerAggression,distance,nemInput,curReward
1,214369.0,Idle,0
1,214369.0,Idle,0
1,216218.34375,Run,0
1,218067.671875,Burst,0
1,219917.0,Run,0
1,221766.34375,Run,0
1,223594.71875,Run,0
1,225444.0625,Run,0
1,227293.390625,Jump,0
1,229142.71875,Run,0
1,230992.0625,Run,0
1,232841.40625,Run,0
1,234690.75,Run,0
1,236540.0625,Run,0
1,238389.40625,Run,0
1,240238.75,Run,0
1,242088.09375,Burst,0
1,243937.40625,Jump,0
1,245786.75,Run,0
1,247636.09375,Run,0
1,249485.4375,Run,0
1,251334.75,Run,0
1,253184.09375,Jump,0
1,255033.40625,Dash,0
1,256882.75,Run,0
1,258732.0625,Run,0
-2,260581.40625,Run,0
-2,260581.40625,Run,0
-2,260581.40625,Run,0
-2,260581.40625,Run,0
-2,260581.40625,Run,0
-2,260581.40625,Run,0
-2,260581.40625,Run,0
-2,260581.40625,Run,0
-2,262430.6875,Run,0
-2,264280.03125,Run,0
-2,266129.34375,Burst,0
-2,267978.6875,Run,0
-2,269827.125,Run,0
-2,271677.09375,Run,0
-2,273526.40625,Run,0
-2,273453.15625,Run,0
-2,274162.09375,Dash,0
-2,274928.59375,Run,0
-2,274184.125,Dash,0
-1,271609.125,Run,0
-1,269034.15625,Dash,0
-2,266459.1875,Run,0
-2,263884.1875,Run,-1
-2,261309.21875,Run,-1
-2,258734.21875,Run,-1
-2,256159.21875,Run,-1
-2,253584.25,Run,-1
-2,251009.25,Run,-1
-2,248434.25,Run,-1
-2,245859.25,Run,-1
-2,244770.5,Jump,-1
-2,245339.1875,Run,-1
-2,243906.984375,Run,-2
-2,245239.5625,Jump,-2
-2,246587.15625,Dash,-2
-2,247943.625,Run,-2
-2,249311.0625,Dash,-2
-2,250689.46875,Jump,-2
-2,252075.796875,Dash,-2
-2,253478.5,Dash,-2
-2,252907.6875,Run,-2
-1,251270.59375,Run,-2
-2,249726.421875,Run,-2
-2,248272.046875,Run,-2
-2,246907.609375,Run,-2
-2,245633.046875,Run,-2
-2,244448.234375,Run,-2
-2,243352.84375,Run,-2
-2,242346.40625,Run,-2
-2,241428.390625,Run,-2
-2,242012.84375,Run,-2
-2,242666.96875,Dash,-2
-2,243389.96875,Run,-2
-2,244192.4375,Jump,-2
-2,243702.34375,Jump,-2
-2,243317.109375,Jump,-2
-2,243040.4375,Jump,-2
-2,241489.234375,Jump,-2
-2,240034.71875,Jump,-2
-2,238672.0,Jump,-2
-2,237366.84375,Jump,-2
1,237444.5625,Run,-2
1,237560.84375,Run,-2
1,239023.875,Run,-2
8,240520.96875,Run,-2
8,242046.21875,Run,-2
8,243218.296875,Run,-2
8,243371.6875,Dash,-2
8,243502.34375,Dash,-3
8,246499.1875,Dash,-3
8,249496.0625,Dash,-3
8,252492.9375,Dash,-3
8,254124.6875,Dash,-3
8,255703.6875,Dash,-3
8,257227.96875,Dash,-3
8,260143.03125,Run,-3
8,263060.75,Run,-3
8,267473.6875,Run,-3
8,271943.875,Burst,-3
8,276464.125,Jump,-3
8,281037.125,Run,-3
8,282613.3125,Run,-3
8,284186.0,Run,-3
8,284585.59375,Jump,-3
8,284962.6875,Run,-3
8,283406.5625,Run,-3
8,281850.4375,Run,-3
8,279133.71875,Dash,-3
8,276439.8125,Blast,-3
8,273764.84375,Run,-3
8,273764.84375,Run,-3
8,275290.875,Run,-3
8,276816.9375,Run,-3
8,278339.5,Run,-3
8,279868.0,Run,-3
0,278478.40625,Run,-2
0,277090.40625,Run,-2
0,275702.40625,Run,-2
0,274314.40625,Run,-2
0,272926.4375,Run,-2
0,271538.40625,Blast,-2
0,270150.4375,Run,-2
1,269662.0,Run,-2
1,271003.71875,Run,-2
1,272424.6875,Blast,-2
1,273924.875,Run,-2
1,275504.3125,Run,-2
8,277162.96875,Run,-2
8,278900.875,Run,-2
8,280717.96875,Burst,-2
8,282614.34375,Run,-2
8,284589.90625,Run,-2
8,286644.75,Run,-2
8,288557.0,Run,-2
8,290083.0625,Run,-2
8,291609.09375,Run,-2
8,293135.125,Run,-2
8,294661.5,Run,-2
8,296187.5,Run,-2
8,297713.5625,Jump,-2
8,299239.59375,Run,-2
8,300765.625,Run,-2
8,300765.625,Run,-2
8,300765.625,Run,-2
8,300765.625,Run,-2
8,300765.625,Run,-2
8,302292.125,Run,-2
8,303818.125,Jump,-2
8,305344.1875,Dash,-2
8,306870.21875,Run,-2
8,308396.25,Dash,-2
8,309922.71875,Jump,-2
0,308532.6875,Jump,-1
0,307144.25,Jump,-1
0,305755.78125,Jump,-1
0,304367.3125,Jump,-1
0,302978.875,Jump,-1
0,301590.4375,Jump,-1
0,300201.96875,Jump,-1
8,299713.09375,Jump,-1
8,301054.375,Run,-1
8,302474.875,Dash,-1
8,303974.625,Jump,-1
8,300466.03125,Run,-1
8,297036.6875,Melee,-2
8,293686.5625,Melee,-2
8,290415.65625,Melee,-2
8,287224.0,Melee,-2
8,284111.5625,Melee,-2
8,281078.375,Melee,-2
8,277932.15625,Melee,-2
8,274370.625,Melee,-2
8,270809.125,Melee,-2
8,267247.59375,Melee,-2
8,263686.0625,Melee,-2
8,264874.53125,Melee,-2
8,266081.8125,Melee,-2
8,267292.90625,Melee,-2
8,268502.25,Melee,-2
8,269711.625,Melee,-2
8,270921.0,Melee,-2
8,272127.46875,Melee,-2
8,273339.1875,Melee,-2
8,274548.5625,Melee,-2
8,275757.9375,Melee,-2
8,275757.9375,Melee,-2
8,275757.9375,Melee,-2
8,274548.5625,Run,-2
8,273339.1875,Run,-2
8,272129.8125,Dash,-2
1,272129.8125,Run,-2
1,272129.8125,Run,-2
1,270920.4375,Jump,-2
1,269711.0625,Run,-2
1,268501.6875,Run,-2
1,267292.3125,Run,-2
1,266082.9375,Run,-2
1,264873.5625,Dash,-2
1,263664.1875,Run,-2
1,262454.8125,Run,-2
1,261245.46875,Jump,-2
1,260036.09375,Run,-2
8,258826.71875,Melee,-2
8,257617.34375,Burst,-2
8,256407.96875,Burst,-3
8,253988.625,Burst,-3
8,251584.21875,Burst,-3
